,Date,Country,Continent,Code,Cases,Deaths
99,25/05/2020,Afghanistan,Asia,AFG,584,2
100,24/05/2020,Afghanistan,Asia,AFG,782,11
101,23/05/2020,Afghanistan,Asia,AFG,540,12
102,22/05/2020,Afghanistan,Asia,AFG,531,6
103,21/05/2020,Afghanistan,Asia,AFG,492,9
104,20/05/2020,Afghanistan,Asia,AFG,581,5
105,19/05/2020,Afghanistan,Asia,AFG,408,4
106,18/05/2020,Afghanistan,Asia,AFG,262,1
107,17/05/2020,Afghanistan,Asia,AFG,0,0
108,16/05/2020,Afghanistan,Asia,AFG,1063,32
109,15/05/2020,Afghanistan,Asia,AFG,113,6
110,14/05/2020,Afghanistan,Asia,AFG,259,3
111,13/05/2020,Afghanistan,Asia,AFG,280,5
112,12/05/2020,Afghanistan,Asia,AFG,285,2
113,11/05/2020,Afghanistan,Asia,AFG,369,5
114,10/05/2020,Afghanistan,Asia,AFG,255,6
115,09/05/2020,Afghanistan,Asia,AFG,215,3
116,08/05/2020,Afghanistan,Asia,AFG,171,2
117,07/05/2020,Afghanistan,Asia,AFG,168,9
118,06/05/2020,Afghanistan,Asia,AFG,330,5
119,05/05/2020,Afghanistan,Asia,AFG,190,5
120,04/05/2020,Afghanistan,Asia,AFG,235,13
121,03/05/2020,Afghanistan,Asia,AFG,134,4
122,02/05/2020,Afghanistan,Asia,AFG,164,4
123,01/05/2020,Afghanistan,Asia,AFG,222,4
124,30/04/2020,Afghanistan,Asia,AFG,122,0
125,29/04/2020,Afghanistan,Asia,AFG,124,3
126,28/04/2020,Afghanistan,Asia,AFG,172,0
127,27/04/2020,Afghanistan,Asia,AFG,68,10
128,26/04/2020,Afghanistan,Asia,AFG,112,4
129,25/04/2020,Afghanistan,Asia,AFG,70,1
130,24/04/2020,Afghanistan,Asia,AFG,105,2
131,23/04/2020,Afghanistan,Asia,AFG,84,4
132,22/04/2020,Afghanistan,Asia,AFG,61,1
133,21/04/2020,Afghanistan,Asia,AFG,35,2
134,20/04/2020,Afghanistan,Asia,AFG,88,3
135,19/04/2020,Afghanistan,Asia,AFG,63,0
136,18/04/2020,Afghanistan,Asia,AFG,51,1
137,17/04/2020,Afghanistan,Asia,AFG,10,4
138,16/04/2020,Afghanistan,Asia,AFG,70,2
139,15/04/2020,Afghanistan,Asia,AFG,49,2
140,14/04/2020,Afghanistan,Asia,AFG,58,3
141,13/04/2020,Afghanistan,Asia,AFG,52,0
142,12/04/2020,Afghanistan,Asia,AFG,34,3
143,11/04/2020,Afghanistan,Asia,AFG,37,0
144,10/04/2020,Afghanistan,Asia,AFG,61,1
145,09/04/2020,Afghanistan,Asia,AFG,56,3
146,08/04/2020,Afghanistan,Asia,AFG,30,4
147,07/04/2020,Afghanistan,Asia,AFG,38,0
148,06/04/2020,Afghanistan,Asia,AFG,29,2
149,05/04/2020,Afghanistan,Asia,AFG,35,1
150,04/04/2020,Afghanistan,Asia,AFG,0,0
151,03/04/2020,Afghanistan,Asia,AFG,43,0
152,02/04/2020,Afghanistan,Asia,AFG,26,0
153,01/04/2020,Afghanistan,Asia,AFG,25,0
154,31/03/2020,Afghanistan,Asia,AFG,27,0
155,30/03/2020,Afghanistan,Asia,AFG,8,1
156,29/03/2020,Afghanistan,Asia,AFG,15,1
157,28/03/2020,Afghanistan,Asia,AFG,16,1
158,27/03/2020,Afghanistan,Asia,AFG,0,0
159,26/03/2020,Afghanistan,Asia,AFG,33,0
160,25/03/2020,Afghanistan,Asia,AFG,2,0
161,24/03/2020,Afghanistan,Asia,AFG,6,1
162,23/03/2020,Afghanistan,Asia,AFG,10,0
163,22/03/2020,Afghanistan,Asia,AFG,0,0
164,21/03/2020,Afghanistan,Asia,AFG,2,0
165,20/03/2020,Afghanistan,Asia,AFG,0,0
166,19/03/2020,Afghanistan,Asia,AFG,0,0
167,18/03/2020,Afghanistan,Asia,AFG,1,0
168,17/03/2020,Afghanistan,Asia,AFG,5,0
169,16/03/2020,Afghanistan,Asia,AFG,6,0
170,15/03/2020,Afghanistan,Asia,AFG,3,0
171,11/03/2020,Afghanistan,Asia,AFG,3,0
172,08/03/2020,Afghanistan,Asia,AFG,3,0
173,02/03/2020,Afghanistan,Asia,AFG,0,0
